Evaluation Response,Final Question Response,Final Question Codes,OTT Codes
370,"Yes, making Lexington safer for bikes and pedestrians makes the city a bigger place to live ",Comp Plan Relevant,Walkability / Bikeability / Accessibility
371,Learned a lot let’s look at best cities to mimic,Comp Plan Relevant,
372,"Safe bike ped infrastructure is central to healthy neighborhoods, the environment, jobs and growth!!! Please attend to making High street near Rupp arena safe especially with the Town Branch Trail!! ","Comp Plan Relevant,Specific Feedback","Walkability / Bikeability / Accessibility,Traffic Calming / Safety"
373,"Great discussion,  solidified my thinking that any new development must take all forms of transportation into account: pedestrian,  cycling,  driving.  We must do better as we move forward.  Thank you for the opportunity to provide input!","Positive,Comp Plan Relevant",Walkability / Bikeability / Accessibility
374,It reinforced my belief that it is critical to plan every new development with full support for cycling /walking ,Comp Plan Relevant,Walkability / Bikeability / Accessibility
375,Lots of great respectful discussion.  Identified same problems with multiple solutions.  Different backgrounds and strengths of the participants added to the conversation. ,"Positive,Document",
376,"Well it was a good conversation at broke spoke, I don't see how the things we discussed will be communicated to city planners.  So I'm still kind of sceptical about the process and the influence of sponsors like PNC, AARP, etc.  These for profit corporations should have no influence on this process, none","Negative,Specific Feedback",
377,Great format! ,Positive,
378,"Transportation
* Psychological approach to encouraging waking and biking. Walk times, etc
* How do we encourage responsible commuting?
* Bus system is not being fully utilized
* What happened to trolley? It was great
* How long does the bus really take?
* Accessibility?


Environment
* Only a few random trash cans in the Euclid area
* Littering- are there fines and is it being enforced?
* Smog and emissions checks like California?

Growth
* Affordable housing for single people or small families
* Repurposing old buildings and properties. Making it easier to do. It took years for distillery district and grey line to actually happen
* Large scale corporations won’t be built here in the city limits.

Final thoughts
* Downtown safe",Comp Plan Relevant,"Walkability / Bikeability / Accessibility,Public Transportation,Environmental Sustainability & Resiliency,Housing Affordabiilty,Infill & Redevelopment,Safety"
379,Great conversation. Near to make progress that the 2008 plan did not accomplish. ,Positive,
380,"Yes, there are some good ideas. Think psychological vs. logical response.

Add signage to notify people on wait times, to encourage walking and biking.

No more cigarette butts, and add a trolley downtown.

Incentive the use of buses or selling calls or carpooling in some way. Consider carpool lanes on larger highways.

Thanks!","Positive,Comp Plan Relevant","Walkability / Bikeability / Accessibility,Environmental Sustainability & Resiliency,Public Transportation"
381,"Increased enforcement on cigarette butt/general litter

Training on how to bike and awareness about new paths. More workplaces giving funding for commuters. ",Comp Plan Relevant,"Environmental Sustainability & Resiliency,Walkability / Bikeability / Accessibility"
382, A good start.,Positive,
383,"Good experience to get varying opinions.  Learned more about transportation.  Conversation about feeling unsafe downtown.  It didn’t
Come up, but what is being done about the drug problem.","Positive,Comp Plan Relevant",Safety
384,"There are at least a dozen Lexington residents who want a great, environmentally friendly city! ","Positive,Comp Plan Relevant",Environmental Sustainability & Resiliency
385,"Good experience, better ideas came from discussion. Notably the need for LFUCG to raise development standards to reflect the best environmental standards - become a leadeership community, not just the minimum; the need for the city to address & assist with food deserts; and making dignity & decency a part of every solution from transportation to housing to environment.","Positive,Comp Plan Relevant,Specific Feedback","Environmental Sustainability & Resiliency,Government Services,Amenities & Quality of Life,Public Transportation,Diversity / Equity / Inclusion"
386,"Good constructive conversation especially on environment & climate
Some interesting ideas advanced
Priorities in this group: Affordable Housing, A more comprehensive public transport system
Use of environmentally friendly construction materials. Use of wind & solar power Continued Preservation of Horse Farms
","Positive,Comp Plan Relevant,Specific Feedback","Housing Affordabiilty,Public Transportation,Environmental Sustainability & Resiliency,Rural Greenspace Conservation"
387,Good experience. Could have used more focused discussion. Feel like we discussed good ideas but there is frustration that so many things are state controlled. I did learn a little new. But I didn’t really change my mind on anything. Just frustrated that the city seems so afraid to act. ,"Positive,Specific Feedback",
388,Experience was great. I did not change my mind. ,Positive,
389,Indian food! More Indian food in Lex! ,Specific Feedback,
390,"I enjoyed it! I got to learn about my community, i did not change any answers ",Positive,
391,"yes, i changed my mind on a couple questions but typically we were all in agreement about the big things. ",Positive,
392,That was a great opportunity to discuss what we feel would improve the community.,Positive,
393,"Learned a lot from perspectives of people who grew up in Lexington, whereas I’m a more recent resident. ",Positive,
394,This was a good experience. I liked hearing people I know we’ll expand beyond the broad opinions I assumed they held.,"Expanded Worldview,Connected with Others,Positive",
395,"It was a lovely experience, and I did learn many new things from my friends. I don’t think any of my answers significantly changed, but they would be richer and fuller based on our discussion.",Positive,
396,"This was great, I think I thought more about how complex these issues are from listening to my friends and neighbors.",Positive,
397,This was a good experience although I feel like we were all mostly on the same page. Interesting discussion about building within downtown area and creating a place where all are welcome. ,"Positive,Specific Feedback",
398,We have many issues to address and we are surrounded by brilliant people with wonderful ideas. ,Positive,
399,* since there is a shortage of affordable housing many people have to live in outlying areas of the county or in adjacent counties. Bus transport must be available to go to & from these locations. More frequent stops on bus routes.,"Comp Plan Relevant,Specific Feedback","Housing Affordabiilty,Public Transportation"
400,"We discussed smaller city buses, tree canopy, e car fleets, more duplex and four plex housing, green corridors, signage for walking times around town, also giving mid size cities goals/awards “Walking City” “Recycling City” etc. ",Comp Plan Relevant,"Public Transportation,Trees,Environmental Sustainability & Resiliency,Style of Development,Walkability / Bikeability / Accessibility,Recycling & Composting"
401,I think that this is a great conversation to have. It needs to be more common and the ideas need to have action plans-- it's great to talk and identify the problem but what are we going to do about it? At what point are the plans being made? ,"Positive,Specific Feedback",
402,"It was a good experience. I expanded my knowledge about certain problems especially how awful it is to rent or live in Lexington, how awful transportation it is. ","Positive,Comp Plan Relevant",Rental Issues
403,It was great to hear others perspectives. I do think LexTran could offer more bus routes and bus training classes. Additionally a bus that goes around New Circle road. More affordable child care and day care options. ,"Positive,Comp Plan Relevant","Public Transportation,Social Services"
404,"I would also like to add that it would be awesome if more languages were represented, and I interpretation/translation services in our area! Spanish and English is great but we also have lots of Ukrainian, Arabic, and Swahili speakers coming to Lexington! ","Comp Plan Relevant,Specific Feedback",Diversity / Equity / Inclusion
405,"Talking with others gave me much more insight into Lexington. I think transportation is a big need and will require more développement for accessibility, expanded hours and more routes. With better transportation, more car drivers would consider switching to public transportation. Lexington has beautiful parks but need more programming for low income families. Housing needs more accessibility for folks with disabilities and easier access to subsidized housing. ","Positive,Comp Plan Relevant,Specific Feedback","Public Transportation,Government Services,Housing Affordabiilty"
406,"One additional comment regarding housing—section 8 waitlists should be open all the time. Only opening waitlists for short periods of time with little notice disadvantages the people section 8 should be serving.
Regarding bicycle lanes, ad campaigns for driver education should be prioritized to reduce vehicle/cyclist hazards and accidents.
Regarding immigrant inclusion—Lexington seems to ignore and disadvantage the significant number of immigrants who call this community home
Regarding financial sufficiency—a living wage and restrictions on rent increases are a non-negotiable","Comp Plan Relevant,Specific Feedback","Housing Affordabiilty,Walkability / Bikeability / Accessibility,Diversity / Equity / Inclusion,Wages / Benefits,Rental Issues"
407,"It's great to be able to give feedback and talk about Lexington with fellow residents and coworkers. This town has come a long way and is noticeably improving in some ways, but there are definitely more things we can do to make it better. It's also just great to know that the government is actively soliciting feedback from a wide range of people. I hope to see great things for the city in the future--we're not leaving anytime soon and I am excited to see the city get more inclusive, welcoming, and hospitable in the coming years.","Positive,Document,Specific Feedback",
408,The comprehensive plan needs to be evaluated. The models being used as an examples or not long term beneficial to the majority. ,Specific Feedback,
409,Good conversation! Thank you! Glad to meet new folks!,Positive,
410,"The experience was beneficial/generative of meaningful conversation. It illuminated many issues and concerns facing Lexington residents. A major thing to address is housing affordability, inventory, and short-term rentals driving up prices. Also making sure FCPS does not cancel school bus routes in poorer areas - this exacerbates/reinforces poverty and truancy. Having public bus availability for 24 hours and better/secure bus stops (with seating/awning) is important. Lexington must address inconsistent sidewalks which are inaccessible for people with disabilities and people using strollers. An important quote from the meeting was ""Living in Lexington's great if you're middle class, but is so difficult if you're poor or working class.""","Positive,Comp Plan Relevant,Document,Specific Feedback","Housing Affordabiilty,Rental Issues,Public Education,Public Transportation,Walkability / Bikeability / Accessibility,Economic Equity"
411,"All verbal participants had good ideas. Everybody had a legitimate ""wish list"". It appeared that most did not know/accept the challenge of how to make their ideas a reality. Most suggested ""improvements"" for Lexington will require politicking, and a sustained effort, to ever become reality. That is the discouraging part. It would be helpful, I think, if in addition to gathering ideas and opinions, OTT could offer a few sessions that spell out the various steps people need to take, or the groups they need to talk to or join, in order to effect the changes they seek. It can be very hard to try to do these things alone...Thanks, OTT for starting the conversation!","Positive,Specific Feedback",
412,No,"Positive,Negative",
413,"Yes, I learned more about the websites that available to learn about Lexington it’s plans for the future . ",Positive,
414,Good discussion on housing and development and where we should prioritize growth. ,"Positive,Comp Plan Relevant",Style of Development
415,It was very informative. I learned a few things. Good to meet our neighbors ,Positive,
416,Very informative. It was good sharing ideas for our wonderful city,Positive,
417,"Yes, I learned some things. No, my answers are okay.",Positive,
418,Who Authorized slot machines in neighborhoods. ,Specific Feedback,
419,"Enjoyed it.  We need strict regulations and control on short term rentals.  The hotel tax must be collected, then used to oversee the rentals, to help make it a good situation for most involved.","Positive,Comp Plan Relevant,Specific Feedback",Rental Issues
420,"It was apparent from our discussion that this group loves Lexington but feel the continuing dense growth is unrealistic and is causing our city to lose its appeal. Traffic and poor planning for increased population such as on Nicholasville Rd.  More shopping like The Summit is not needed. Increased density creates more water pollution and we don’t want to lose the Elkhorn Creeks. Develop downtown. Tear down some of the ancients on Winchester Rd from the Liberty Rd towards Eastland and build higher not wider. We have grant money, use it wisely. ","Positive,Comp Plan Relevant","Traffic Congestion,Style of Development,Environmental Sustainability & Resiliency,Growth Location"
421,Great discussion. This should be done every year or every other year. ,Positive,
422,"Great meeting new people and being apart of the conversations about how we can continue to make Lexington a great place to live!

Our host was great! ","Positive,Specific Feedback",
423,There are more resources in Lexington than I was aware of and I am going to follow up with the women in my group to access those resources .,"Positive,Comp Plan Relevant",
424,Nope. I stand by my answers. ,Positive,
425,I want the planning commission to thoughtfully make a plan to rezone underdeveloped areas to create some high density housing that also includes green space and amenities.  I also believe rethinking public transportation in order to reduce traffic and pollution is vital.,"Positive,Comp Plan Relevant","Style of Development,Urban Greenspaces,Public Transportation"
426,Something I didn’t think about that was discussed involved how can the new park development downtown (Rupp and Vine) connect to the identity of Manchester street as it connects to Old Frankfort Pike.,Comp Plan Relevant,"Connectivity,Urban Greenspaces"
427,Affordable house needs to be built with universal design and have access to transportation or it will not be successful.  Convert unused commercial space to make affordable housing    ,Comp Plan Relevant,"Housing Affordabiilty,Style of Development,Infill & Redevelopment"
428,"This was a good experience for me. Yes, I learned that Lexington needs to have a better transit system, affordable housing, and better paying senior professional jobs. No ","Positive,Comp Plan Relevant","Public Transportation,Housing Affordabiilty,Wages / Benefits"
429,Great conversation. Confirmed that different racial minorities experience and benefit different in Lexington. ,Positive,
430,"I enjoyed this! I definitely learned a lot about possible policies and ways that could improve climate resiliency in Lexington. I don’t know if I changed my mind about much, but certainly sharpened and detailed my thoughts on what is needed for the city of Lexington to improve the quality of life in Lexington. My only thought for feedback is that it could help to set a norm at the beginning of the conversations to be mindful of the space they take up - a few folks would have talked more I think if they’d had a bit more space! ","Positive,Document,Specific Feedback",
431,"My thoughts are mostly similar, but I found the increased emphasis on public transit interesting - I've been more interested in walking and cycling, and less focused on other transit.","Positive,Comp Plan Relevant","Public Transportation,Walkability / Bikeability / Accessibility"
432,I would love to have a more energy efficient transportation system between neighborhoods and downtown and schools. I learned a ton about how climate change effects all branches of city issues. This was a super interesting conversation that makes me want to learn more.,"Positive,Comp Plan Relevant",Environmental Sustainability & Resiliency
433,"Climate concerns need to address ALL aspects of a livable Lexington, with racial and economic issues infused in all planning. Connecting climate and the environment to all aspects of the Comp Plan will enable future planning to simultaneously address livable neighborhoods, improved transportation, social and economic justice, better jobs. Also, long range planning should incorporate an understanding that we will be gaining climate refugees as climate issues worsen elsewhere. ","Positive,Comp Plan Relevant,Specific Feedback","Diversity / Equity / Inclusion,Environmental Sustainability & Resiliency,Wages / Benefits,Public Transportation"
434,This was great talking about things that could help the community. ,Positive,
435,This was a great experience. I thinknmore purposefully diverse groups would foster deeper conversations.,"Positive,Specific Feedback",
436,"Great opportunity to dialogue with community partners.
No change in of my thoughts or responses. ",Positive,
437,This was a great experience to learn and talk more and brainstorm about helping the city of Lexington. I learned a lot about the infrastructures and various parts of the city and how it has been developing and growing in the last 20-30 years. ,"Positive,Specific Feedback",
438,This was a good experience. I learned quite a bit in my session. I did not change my mind.,Positive,
439,Enjoyed the opportunity to be a smaller setting to share concerns and ideas. Good to hear other issues others in the Lexington community have. ,"Connected with Others,Positive",
440,"I loved the conversation. I learned more about the city and I learned how various opinions from people who have lived here longer. I also enjoyed hearing the progress and in some cases how the city has worsened over the years and decades.

I am optimistic about the  future of Lexington and I hope that some of the aspects we talked about will come into reality. ","Positive,Document",
441,A good opportunity to share my thoughts,Positive,
442,I learned that we all haven’t very similar needs/wants for Lexington but the way we implement those needs/wants are vastly different.,Positive,
443,"Additional thoughts:  lack of affordable housing is a real problem, federal policies seem to encourage large projects whereas we are missing ""middle"" housing.  HUD also seems to discourage innovative approaches.  Incentivizing smaller, more concentrated diverse neighborhoods providing most of the essential services within walking distance could help lessen the transportation problems and provide for more economic opportunities.  Fight NIMBYism and diversify zoning away from R1.  ",Comp Plan Relevant,"Housing Affordabiilty,Style of Development,Walkability / Bikeability / Accessibility,Economic Development"
444,"It was a good experience and would like for them to continue throughput the year.  The tables attended had around15 participants and an hour isn’t long enough to cover all the topics.  I’m wondering the topics could be broken down into mini sessions…one on neighborhoods, one on jobs, on on growth, etc.
Also, the city needs additional revenue sources….license and tax short term rentals (Vrbo, Airbnb).  Those funds could pay salary of overseer.  Then we know where the rentals are….both in the city and in rural area.  We need additional ways to fund affordable housing and housing that is affordable….raise taxes on higher end homes.


","Positive,Comp Plan Relevant,Specific Feedback","Rental Issues,Housing Affordabiilty"
445,"The experience was good! I did learn more about what other people think about Lexington and the future that they envision. It was interesting to me how many people are worried about the same kinds of things (mobility, freedom, cost, poverty), but have very different ideas for how they could be addressed. It does seem like these types of things could be studied and reported on by the city (or maybe in partnership with UK or Transy).","Positive,Comp Plan Relevant,Specific Feedback",
446,It was a nice conversation and refreshing to see different views people have for Lex in the future. ,Positive,
447,"Discussion was good. Thanks for the opportunity to provide input. (By the way, you should proof-read the above question for spelling. You mean “change”, not chance.)",Positive,
448,"I enjoyed meeting with others to discuss our ideas for Lexington.
The demographic questions left out some very important things to consider. I would have asked how long a person had lived in Lexington(people who have lived here for decades have seen things that worked and didn't work in the past), And why they were living in Lexington(work, school, family, etc) And, how long it takes to get to work, school or where ever a person goes most days. And also by what means of transport, ie car, walk, etc.","Positive,Specific Feedback",
449,"It was a great experience! It was a little difficult to have such an open-ended conversation, but I did learn several new things and felt like I came away with a more nuanced understanding of the issues.","Learned Something,Suggestion for Future,Positive,Specific Feedback",
450,Learn a lot today.  Very informative and helpful.,Positive,
451,"Es muy importante que empieze un co op para ayudar a los negocios hispanos con el
Espacio para su negocio. Si aprendi que es lindo el area verde de Lexington Kentucky. No  tenia esa vision.",,
452,Great experience!  Love to learn from others.  It opened my mind to new thoughts.  ,Positive,
453,The affordable housing testimony and conversation was HUGE … what a pressing issue for Lexington.    Much tx to all who set these up.   Candidates for office should NOT be allowed to host these … and should be required to acknowledge their candidacies at the outset of the meeting. ,"Positive,Comp Plan Relevant,Specific Feedback",Housing Affordabiilty
454,I had a wonderful experience and I learned a lot of things/considered new possibilities and outcomes for our community. ,Positive,
455,"Didn't change my mind, but it did emphasize what I thought about improving the arts scene in Lexington. A flourishing arts scene is not only good for Lexington residents from a quality of life perspective, but it may also help bring good businesses to Lexington. We should strive to give Lexington a thriving arts economy!","Positive,Comp Plan Relevant,Specific Feedback","Amenities & Quality of Life,Economic Development"
456,I learned that people are being evicted from affordable housing they already live in because owners are selling the properties. These types of evictions are at an all time high and increasing. People also can’t find places to rent that take affordable housing vouchers. The community must be able to have land trusts and cooperatives so that housing doesn’t exist for profit because so many Lexingtonians are being pushed out and priced out by the current system that is failing too many people.,"Comp Plan Relevant,Specific Feedback","Housing Affordabiilty,Social Services"
457,Great experience. Learning more about the areas outside of downtown was an eye opening experience ,"Positive,Document",
458,This taught me that our community is growing but is going to have many struggles with growth because of construction and community reasons.,Comp Plan Relevant,
459,I enjoyed hearing everyones point of view of what lexington could help ,Positive,
460,i think everyone had the overall want to improve the community in ways beneficial to the people and the environment.,Positive,
461,"I would like more bike lanes and barriers between the bike lanes and the road. Right now, bike lanes are used as extra parking and cars often veer into them while driving.",Comp Plan Relevant,Walkability / Bikeability / Accessibility
462,"I would like to see a change in our recycling program, a new facility that utilizes all recyclables. Slovenia is recycling 42.2% of its household waste which puts it in third place on the of top 10 OECD countries with the most recycled waste.They send less than 5% to their landfill. Why can't Kentucky. especially Lexington. become a leader in new technology to deal with trash and recyclables.",Comp Plan Relevant,Recycling & Composting
463,"It was a great experience for me. We discussed a lot about transportation and how neighborhoods are arranged. No, I did not learn anything new but it did open my mind up to many opportunities I never thought about.","Positive,Comp Plan Relevant",
464,i learned that there are a lot of problems that need to be fixed for the better ,Positive,
465,"It was a good experience. I got to talk to some new people that I didn't know and share some of my opinions with them. Yes, I learned a lot about the amount of transportation needed and how we use cars very often. No, I think I still agree with a lot of the stuff I said at the on the table conversation. It will still very interesting to learn about new ways that we can change Lexington. ",Positive,
466,it was a simple experience for me ,Positive,
467,it was good.,Positive,
468,This experience was unique and very needed. The people that talked seemed really involved and moved. ,Positive,
469,sdfsdfsdfsd,Not Usable,
470,The impact of violence in our schools and prevalence of gang violence. That many not at the table have different needs,"Positive,Comp Plan Relevant","Safety,Public Education"
471,"Fantastic experience. Yes, a young (?) has fabulous ideas- focused on environment, culture and statistics that educated me and I supported. ",Positive,
472,more street tree! more sidewalks! preserve farmland no to expand U.S.B.,"Positive,Comp Plan Relevant","Trees,Walkability / Bikeability / Accessibility,Urban Services Boundary,Rural Greenspace Conservation"
473,Gratified to know that there are others thinking = feeling the same as I do.,Positive,
474,I didn't change my mind but was happy to have many others agree that affordable housing is an incredibly important issue in Lexington!,"Positive,Comp Plan Relevant",Housing Affordabiilty
475,Environment is more important to many people than to me. Neighborhood integration is most important to me. great to hear other peoples passion for the environment,Positive,
476,"I learned more about the impact of zoning and how the city should zone areas for multi-use, with input from the current residents. ","Positive,Comp Plan Relevant",Style of Development
477,A great experience.,Positive,
478,"We make peanut butter, not profit! Tenant unions, resources for political/ economic action, progressive zoning. frequent buses, real BRT","Positive,Comp Plan Relevant","Rental Issues,Style of Development,Public Transportation"
479,Loved it! So cute + fun. I <3 Lex,"Increased attachment to place,Positive",
480,It was cold but nice! I like being able to talk about the city's issues and future was refreshing. I wish there were more opportunity for feedback.,"Positive,Specific Feedback",
481,It was a great conversation with over table. It was engaging and lots of great topics and improvements were brought up. We learned from each other and all shed light on different perspectives. ,Positive,
482,Importance of viable regional infrastructure and authority: that empowers and revitalizes surround Bluegrass municipalities. ,"Positive,Comp Plan Relevant",Infrastructure & Utilities
483,"Yes, learn that affordable housing is a key issue that needs address. ","Positive,Comp Plan Relevant",Housing Affordabiilty
484,Good! I learned there was a Judge Exec Association. Not really any changes in my ideas. The main pt of our convo was regionalism.,"Positive,Specific Feedback",
485,"Very educational which I learned alot bout neighborhood, safety, transportation and just the enviorment","Positive,Comp Plan Relevant","Safety,Environmental Sustainability & Resiliency"
486,Made me look outside of my bubble of living....Great gathering today!!,"Positive,Document",
487,Conversation was good. Made me think about housing and family needs and development and re-imagining of neighborhoods,"Positive,Comp Plan Relevant",Style of Development
488,"Excellent. Yes. Many terrific ideas were shared. Light rail, better transportation, bike trails, etc.","Positive,Comp Plan Relevant","Public Transportation,Walkability / Bikeability / Accessibility"
489,Eye opening to ideas and resources needed. That may have potential to improve our environment and our city,"Positive,Document",
490,I added more information to my answers with the input of those at the table- good experience-makes one see the value of being in Lex and t he makes one see the value of being in Lex and the potential it has to become even better. ,Positive,
491,"The experience was great!! Yes, alot of people is worries about the drugs and needles spreaded across Lexington.","Positive,Comp Plan Relevant",Safety
492,Interesting to hear priorities of others learned something new about city procedures. Nor (triangle) mind (?),Positive,
493,I learned a lot & enjoyed the conversation. I plan to attend at least one more Table. ,Positive,
494,It is good to be able to voice changes but I also feel like this survey is for show with no real action planned,"Positive,Negative",
495,clean the community need to really be addressed.,Comp Plan Relevant,
496,"The need for a progressive, thoughtful program to address global warming and the impact that will have.",Comp Plan Relevant,Environmental Sustainability & Resiliency
497,"Great experience, learned a lot.  ",Positive,
498,"I see From our conversation that we (in Lexington) do need more public transportation, more bus stops, improve sidewalks, more bus routes./ Clean litter from streets- sidewalks This has been a great experience.","Positive,Comp Plan Relevant","Public Transportation,Walkability / Bikeability / Accessibility,Environmental Sustainability & Resiliency"
499,Very productive/informative conversation re: Lexington + future. Conversation topics are broad in nature and the different perspectives were presented respectfully. Diversity Equity & Inclusion #1 Diversity,"Positive,Comp Plan Relevant",Diversity / Equity / Inclusion
500,Great meeting. Glad to be a part.,Positive,
501,There were good thoughts about encouraging future ways for traffic to function or diminish,Positive,
502,Positive experience- learned some historical facts about Lexington.  ,Positive,
503,"It was beneficial, yes, not really",Positive,
504,"A truly wonderful conversation. I learned a lot, but we mostly agreed on the issues above, so I would not change my answers. ",Positive,
505,I learned about a very specific example of homeownership vs rental with two streets that sit side by side. I did not change my mind on my own answers. ,Comp Plan Relevant,Rental Issues
506,Zoning-how it is being improved ,Comp Plan Relevant,
507,"Yes, I learned the struggles with transportation, in particualr the bus system and the struggle of opportunity in black communities. I think communication and offering resources to people is vital. Everyone deserves access to resources.","Positive,Comp Plan Relevant,Document","Public Transportation,Government Services,Government Education"
508,Positive. I learned that noise is a big impact on others quality of life.,"Positive,Comp Plan Relevant",Amenities & Quality of Life
509,I really enjoyed this experience and we talked about alot of issues that actually are real. ,Positive,
510,Good conversations. More than anything learned there is a need for more discussion. ,Positive,
511,I learned about some new resources in Lexington. And that a lot of initiatives are ongoing to attempt to deal with some of these issues but they are ineffective or could be more efficient or have fundamental flaws,"Positive,Comp Plan Relevant",Government Services
512,Learned with the group at least there are more people that are concerned about transportation and childcare than I expected. I learned there are people here who care about the environment!,"Positive,Comp Plan Relevant","Social Services,Environmental Sustainability & Resiliency"
513,"We are mostly in agreement so nothing learned but reminded, yes! Very important to focus on things like childcare.","Positive,Comp Plan Relevant",Social Services
514,That Lexington city need to acknowledge the isolation of departments.,Comp Plan Relevant,Government Services
515,"Good experience Exposed some really powerful ideas: Eliminate parking requirements, Establish a live-where-you-work program, Make it easier to establish commercial nodes inside existing zones, Monitor our carbon footprint, Collect data on bike+ walk miles, Provide child care+ healthcare inside neighborhoods, Keep within the current urban services boundary","Positive,Comp Plan Relevant","Parking,Style of Development,Environmental Sustainability & Resiliency,Walkability / Bikeability / Accessibility,Social Services,Urban Services Boundary"
516,very interesting and informative,Positive,
517,"It was a great conversation, more focused on youth development and opportunities than anticipated.","Positive,Comp Plan Relevant",Social Services
518,"Yes, I was able to get more insight about the different topics that we discussed today",Positive,
519,"1. the right hand doesn't know or care what the left hand is doing. When the resources available to the needful, helps then another agency under mines or destroys whatever is being created. Give those in the system of resources, on immunity ID card to stop that and get those that are not involved in the help. ",Comp Plan Relevant,Social Services
520,This was a very great experience. I learned a lot of new material that I can use on a everyday basis and some new ideas I can take bath to my team and suggest. Yes I changed my mind about transportation views once I was able to hear everyone point of view. Thank you for this on the table very great learning experience.  ,"Positive,Document",
521,'-people don't feel safe in public transit -certain groups don't have access or feel like they have access to services - there is a lack of political will to advocate,Comp Plan Relevant,Public Transportation
522,I learned a lot + agreed a lot with everyone elses ideas. I feel like the meeting was very organized + people in the meeting see how the issues are related + should be prioritized,Positive,
523,Questions are very relevant. Nice discussion,Positive,
524,more commercial of need to maintain present urban service boundary,Comp Plan Relevant,Urban Services Boundary
525,Wished there had been more time for discussion + interaction w/participants.,"Positive,Negative",
526,Good conversations! Good problems identification. ,Positive,
527,"I am encouraged by the conversation, ideas, and ways to engage the city, elected officials, and often community members.",Positive,
528,"Want to expand affordable housing options. Leave the recycling program! Make sure all neighborhoods have more than I way to get in + out-re Winburn. No censoring of books in public libraries!! I love Lexington's libraries!! I love Gallery Hops, green spaces, flowering trees, and Farmer's Marker, and all the Festivals!","Positive,Comp Plan Relevant","Housing Affordabiilty,Recycling & Composting,Amenities & Quality of Life,Urban Greenspaces"
529,Discussed the complexities of going Green; improving housing and making it affordable; the challenges of transportation; being a racially diverse and equitable city. Lexington can make changes. No censoring of books in public libraries.,"Positive,Comp Plan Relevant","Housing Affordabiilty,Diversity / Equity / Inclusion,Environmental Sustainability & Resiliency"
530,"1.Thought provoking- so much to improve 2. Where Winburn is. Learned about neighborhoods that were confined w/only one in & out. Very bad. 3. No. No censoring of books at library. Love gallery hop, Farmer's marker, & all festivals, Greyline","Positive,Comp Plan Relevant","Amenities & Quality of Life,Style of Development"
531,More disgusted. More enraged.,Positive,
532,"Helpful. Yes, I was reminded of some changes I would like to see and I added those to my survey. There was a lot of agreement of what is needed.",Positive,
533,1. Thinking about more help with lower income housing. 2. and help getting disability for disabled people with seizures and or missing fingers or amputations! 3. more help for single parents or single mothers even after the fact of them getting taken or people not getting a chance to help themselves.,Comp Plan Relevant,"Housing Affordabiilty,Diversity / Equity / Inclusion,Economic Equity"
534,1) Nice breakfast,Positive,
535,"Learned much from people who live in outer suburbs, need for affordable housing not concentrated but scattered.",Positive,
536,No! All conversation's were great ideas,Positive,
537,this was a good experience,Positive,
538,I hope people will actually listen to the citizens who live in these neighborhoods.,Positive,
539,I did learn and give some feedback,Positive,
540,It made me think  about improving things  Yes more sidewalks for bikes,"Positive,Comp Plan Relevant",Walkability / Bikeability / Accessibility
541,It was educational,Positive,
542,Great conversation.,Positive,
543,Great conversation. Not enough time to talk about everything - or even really scratch the surface!,"Positive,Specific Feedback",
544,Completed online,Positive,
545,clearly transportation issues were major at this talk as was affordable housing for young adults to help keep young people in Lexington,"Positive,Comp Plan Relevant",Housing Affordabiilty
546,The importance of affordable housing to attracting & maintaining talented young folks which also supports industry in their needs to hire.,Comp Plan Relevant,"Housing Affordabiilty,Economic Development"
547,"great conversations! - walkability & better lighting, sidewalk detentions, covered bus stops, longer duration of walk signs. - homelessness - how to create/expand housing opportunities. - Visitability","Positive,Comp Plan Relevant","Walkability / Bikeability / Accessibility,Public Transportation,Social Services"
548,There were a lot of great ideas and comments about how the community can be improved. Also there are simple solutions to these problems that would make things fair for lower income communities. ,Positive,
549,This was a great experience. I learned a lot about my city I didn't know about previously.,Positive,
550,"Good talk with folks I already knew. I do appreciate hearing about what there neighbors wonders and worries about. However, our convo did not change my concerns about the issue of wealth distribution and how to make Lexington more liveable for those with little or no income.",Positive,
551,"Yes, I learned something new, had a very involved group. Need affordable housing first of all. Need more consumer friendly transportation.","Positive,Comp Plan Relevant",Housing Affordabiilty
552,I think this meeting will make a different I pray things will get better,Positive,
553,Good First Time,Positive,
554,"I learn alot, things that I did not know.",Positive,
555,THE CONVERSATION WAS GOOD. I DID NOT FEEL THERE WAS A LOT OF DIFFERING OPINIONS.,Positive,
556,"Need for complete range of services in ""neighborhoods"" small groceries good and going away",Comp Plan Relevant,Amenities & Quality of Life
557,Hearing about ideas & concerns about making Lexington a better place to live,Positive,
558,This was wonderful!,Positive,
559,Good - learned a little about rural needs. No real change of attitude for me.,Positive,
560,It was interesting. Would like to see more diversity of thought,"Positive,Specific Feedback",
561,I learn that people would like to have more input about whats good for growth in Lexington,"Positive,Specific Feedback",
562,I learned about ITN - Independent Transportation Network I learned about how planning does not govern Lextran policies/routes I learned that some people don't want to add housing to their neighborhoods because it could mean more cars :(,"Positive,Comp Plan Relevant","Public Transportation,Style of Development"
563,Enjoyed meeting all the people Feel pretty much the same way,Positive,
564,I enjoy joy this meeting and I feel there will be a change,Positive,
565,That they are willing to listen.,Positive,
