OTT Raw Data Response,Neighborhood Cluster,Neighborhood MC,Neighborhood - OR,Neighborhood Codes,Environment - MC,Environment - OR,Environment Codes,Jobs & Prosperity - MC,Jobs & Prosperity - OR,Jobs & Prosperity Codes,Transportation - MC,Transportation - OR,Transportation Codes,UR Balance MC,UR Balance - OR,UR Balance Codes,Lex - MC,Lex - OR,Lexington Codes,Gender,Age Range,Race,Race - Open Response,Highest Education Level,ZIP Code,Likely Council District
1164,Gardenside,"Yes, I like living in my neighborhood.",Better transit service,Public Transportation,"Yes, I think protecting the environment should be a high priority",,,I think everyone can succeed financially in Lexington,,,"I think walking, biking, and public transit are more important for the city to prioritize",,,I think growth in Lexington is always a good thing,,,"Yes, I like living/spending time in Lexington",,,Male,40-50,White,,High School Diploma or equivalent,40504,"11,3"
1165,Campus,"I like living in my neighborhood, but it could use some changes.","Not placing bars or clubs right across the street from places of residence, especially school residences where the establishment is open on school nights","Style of Development,Amenities & Quality of Life","Yes, I think protecting the environment should be a high priority",I think we definitely need to be more aware of what we are building and where and try to maintain as much green space throughout the city as possible,"Urban Greenspaces,Style of Development",I think that only some people can succeed financially in Lexington,I think the cost of residences could be managed more if that’s a possibility because the main issue is the cost of living seems to outweigh what most people make in Lexington and you can’t have financial success if you can barely pay for a place to live,"Housing Affordabiilty,Wages / Benefits","I think it is equally important for the city to prioritize cars, walking, biking, and public transit","I feel like we have to factor in cars to improve transportation because there are so many in Lexington but as someone who doesn’t feel comfortable driving in lex, we need to make the sidewalks more accessible as they are very deteriorated in some areas and work on improving the accessibility on public transport as I feel as it’s  not marked very well and stops can either be easy to miss or hard to find in the first place if you don’t know where they are","Walkability / Bikeability / Accessibility,Infrastructure & Utilities,Public Transportation",I think growth in Lexington is a bad thing,"Personally I wouldn’t really like to see Lexington grow into this huge city, especially because a lot of time growth requires buying land from individual people who many times are forced to give up their homes to allow the city to expand. I also think it’s important to preserve nature as much as possible and stop with aggressive urbanization of areas","Rural Greenspace Conservation,Environmental Sustainability & Resiliency,Style of Development","I like living/spending time in Lexington, but it could use some changes","Lexington definitely needs improved safety because while I like Lexington, a lot of times I can’t go out and do things because I worry about possibly getting shot, robbed, or assaulted. While these events are the sole responsibility of those who commit them, they happen too often in Lexington for me to want to go out.",Safety,Female,10-20,White,,Associate's Degree,40508,3
1166,Woodland / Chevy Chase / Ashland,"I like living in my neighborhood, but it could use some changes.",more walkable; less auto-centric; vigilant code enforcement; ,"Walkability / Bikeability / Accessibility,Government Services","Yes, I think protecting the environment should be a high priority","intense tree planting; better public transportation; increase property tax progressively and exponentially on houses larger than 2,000 sq ft","Trees,Public Transportation,Environmental Sustainability & Resiliency,Style of Development",I think that only some people can succeed financially in Lexington,"provide child care, affordable housing and better public transportation","Social Services,Housing Affordabiilty,Public Transportation","I think walking, biking, and public transit are more important for the city to prioritize",have the department of transportation prioritize walkable streets; broaden ordinances that prioritize walkability; dramatically increase funding for public transit ,"Walkability / Bikeability / Accessibility,Public Transportation","I think growth in Lexington is a good thing, depending on how it happens",design standards and incentives to build small; progressive taxation that prioritizes energy efficiency ,"Style of Development,Environmental Sustainability & Resiliency","I like living/spending time in Lexington, but it could use some changes",,,,,,,Master's Degree,40507,3
1167,Rural,"Yes, I like living in my neighborhood.","We live on a rural road and get cut through traffic from Jessamin County, Palomar and other areas.  They drive way too fast.  Something needs to be done to slow them down. ","Traffic Congestion,Traffic Calming / Safety","Yes, I think protecting the environment should be a high priority",,,I think everyone can succeed financially in Lexington,,,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",,,"I think growth in Lexington is a good thing, depending on how it happens","Growth is inevitable.   This is a very biased question.  The question is how should we grow.  We have grown in a smart, sustainable way for years and we need to continue to do that.  We do not need to expand the Urban Service Boundary.","Style of Development,Urban Services Boundary","Yes, I like living/spending time in Lexington",,,Female,50-60,White,,More than Master's Degree,40513,12
1168,Kenwick / Bell Ct. ,"Yes, I like living in my neighborhood.",More trees bike lanes slower traffic ,"Trees,Walkability / Bikeability / Accessibility,Traffic Calming / Safety","Yes, I think protecting the environment should be a high priority",More efforts to deal with water and flooding through natural approaches like rain gardens more planting improve air quality by encouraging more walking and biking and bus use,"Water Infrastructure / Quality,Walkability / Bikeability / Accessibility",I think that only some people can succeed financially in Lexington,More affordable housing better low cost quality child care options ,"Housing Affordabiilty,Amenities & Quality of Life","I think walking, biking, and public transit are more important for the city to prioritize",Continue to work on bike lanes and paths and adding sidewalks where needed and improving those that exist. Develop program to rehab and distribute used bikes more broadly. ,Public Transportation,"I think growth in Lexington is a good thing, depending on how it happens",Mostly as infill. Fewer flat surface parking lots would mean more room for affordable housing and businesses ,"Infill & Redevelopment,Parking,Housing Affordabiilty,Economic Development","I like living/spending time in Lexington, but it could use some changes",More trees more people friendly green spaces more downtown businesses ,"Trees,Urban Greenspaces",Female,60-70,White,,Bachelor's Degree,40502,3
1169,Woodland / Chevy Chase / Ashland,"Yes, I like living in my neighborhood.",Slower traffic and taller trees to replace the aging oaks and sycamores and poplars.,"Traffic Calming / Safety,Trees","Yes, I think protecting the environment should be a high priority","Mandatory recycling, no single use plastic bottles or bags","Recycling & Composting,Environmental Sustainability & Resiliency",I think everyone can succeed financially in Lexington,Increased minimum wage,Wages / Benefits,"I think walking, biking, and public transit are more important for the city to prioritize",Bring back the trolleys,Public Transportation,"I think growth in Lexington is a good thing, depending on how it happens",Within growth boundaries by filling in unused lots and revitalization of existing properties ,"Infill & Redevelopment,Urban Services Boundary","Yes, I like living/spending time in Lexington",Closing roads in areas with the most foot traffic and creating plazas,"Traffic Calming / Safety,Walkability / Bikeability / Accessibility",,,,,,,5
1170,Tates Creek,"Yes, I like living in my neighborhood.",people picking up they trash,Environmental Sustainability & Resiliency,"Yes, I think protecting the environment should be a high priority",picking up trash and things like that,Environmental Sustainability & Resiliency,I think that only some people can succeed financially in Lexington,more jobs that people can work at,Economic Development,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",i think that if we can get some new cars in Lexington than it can change  ,,"I think growth in Lexington is a good thing, depending on how it happens",downtown and i think that it will change to because they are making a soccer team so that it will change son enough ,Growth Location,"I like living/spending time in Lexington, but it could use some changes",if people would just clean up after their self in Lexington ,Environmental Sustainability & Resiliency,,,,,High School Student,,8
1171,Lansdowne / Glendover,"Yes, I like living in my neighborhood.",Better upkeep of certain houses that seem in disrepair.  ,Government Services,"Yes, I think protecting the environment should be a high priority","Protection of undeveloped land and green space.  Making sure new development is done in a way that promotes environmental safety, conservation, and sustainability.  ","Urban Greenspaces,Rural Greenspace Conservation,Style of Development,Environmental Sustainability & Resiliency",I think everyone can succeed financially in Lexington,Increased supports for vocational education in high schools and also for young adults who may just want to get their GED and move on to a vocation.  ,Public Education,"I think walking, biking, and public transit are more important for the city to prioritize",Increased education of how to use public transportation.  More routes?  More direct routes.  ,"Public Transportation,Government Education","I think growth in Lexington is a good thing, depending on how it happens",I feel like I need to educate myself more on this.,,"I like living/spending time in Lexington, but it could use some changes",,,Female,40-50,White,,Master's Degree,40503,3
1172,Gardenside,"I like living in my neighborhood, but it could use some changes.","It is a lovely neighborhood mixed with apartments and single family homes. The park (Addison Park) is mostly nice but could use improvements, and there is no grocery store that's safe to walk to. In fact, the nearest general grocery store is the Alexandria Drive Kroger that's several miles away. ","Style of Development,Urban Greenspaces,Amenities & Quality of Life,Walkability / Bikeability / Accessibility,Connectivity","Yes, I think protecting the environment should be a high priority","Designing the city to incentive bike travel, walking, and public transit is a great start! Redesigning street's innovatively to allow more traffic flow and less time waiting at stoplights is another. We should also incentivize, if not mandate, carbon neutral businesses. ","Walkability / Bikeability / Accessibility,Public Transportation,Environmental Sustainability & Resiliency",I think that only some people can succeed financially in Lexington,"Wages! Lexington unfortunately cannot mandate higher wages than the state, but attracting or incentivizing businesses to offer higher wages is key. Affordable housing is also key, as rent is often 50%+ of people's monthly income. Rent control is key. ","Wages / Benefits,Housing Affordabiilty","I think walking, biking, and public transit are more important for the city to prioritize","As stated earlier, prioritizing bike, public transit, and walking in our city's design is important to help the environment. It also makes travel quicker, easier, and creates more equitable neighborhoods. No one should have to drive to get to a grocery store. ","Walkability / Bikeability / Accessibility,Public Transportation,Environmental Sustainability & Resiliency,Connectivity","I think growth in Lexington is a good thing, depending on how it happens",I think growth within the boundary is important! Infill and redevelopment is crucial. ,"Growth Location,Infill & Redevelopment","I like living/spending time in Lexington, but it could use some changes",I have no other changes to suggest outside of those already outlined.,,,,,,,,11
1173,No Response,"I like living in my neighborhood, but it could use some changes.",,,"Yes, I think protecting the environment should be a high priority",,,I think that only some people can succeed financially in Lexington,,,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",,,"I think growth in Lexington is a good thing, depending on how it happens",,,"Yes, I like living/spending time in Lexington",,,Female,,White,,,,Unknown
1174,Castlewood / Loudon,"Yes, I like living in my neighborhood.",(Transcribers note: selected yes and middle options),,"Yes, I think protecting the environment should be a high priority",,,I think that only some people can succeed financially in Lexington,,,"I think walking, biking, and public transit are more important for the city to prioritize",,,I think growth in Lexington is always a good thing,,,"Yes, I like living/spending time in Lexington",,,Male,40-50,American Indian / Alaskan Native,,,40504,Unknown
1175,Masterson / McConell's Trace / Coldstream,"I like living in my neighborhood, but it could use some changes.","A dog park or new playground at the park. The playground is older than most of the kids there and I think it's older than me too. The dog park is just because people in my neighborhood and the ones around use the park to walk their dogs, so it would just be really cool if we had one since there's none in walking distance. We need a crosswalk too, they built McDonald's and iga right across from there and it makes me nervous seeing all the people my age and younger just cross Georgetown road. ","Amenities & Quality of Life,Urban Greenspaces,Traffic Calming / Safety,Walkability / Bikeability / Accessibility","I think protecting the environment is good, but it shouldn't be a high priority","We need just more plants and trees, but I don't know",Trees,I think that only some people can succeed financially in Lexington,"Cheaper food honestly. Everything has gone up a bunch and its pretty hard to get much. My mom feeds 7 to 8 people each week and we spend almost $300 in groceries, even with discounts and coupons. I won't say we are poor, but we dont have much room for careless spending between bills and food.","Amenities & Quality of Life,Wages / Benefits","I think it is equally important for the city to prioritize cars, walking, biking, and public transit",I think more bus stops and safe sidewalks would be cool,"Public Transportation,Walkability / Bikeability / Accessibility","I think growth in Lexington is a good thing, depending on how it happens","I think there needs to be another highschool, but closer to my side of town. ","Public Education,Growth Location","Yes, I like living/spending time in Lexington","More opportunities for not cishet white men, or at least better reach for the things that there are. Also more free events for people who can't afford as much ","Economic Equity,Amenities & Quality of Life,Diversity / Equity / Inclusion",,,,,High School Student,,"2,1"
1176,Masterson / McConell's Trace / Coldstream,"Yes, I like living in my neighborhood.","More restaurants, bars, drugstore, hardware store",Amenities & Quality of Life,"Yes, I think protecting the environment should be a high priority",Better recycling options.  Incentives to do so.,Recycling & Composting,I think everyone can succeed financially in Lexington,Decreased tuition at colleges to enable people to obtain degrees to assist in higher paying jobs.,Public Education,"I think walking, biking, and public transit are more important for the city to prioritize",Safer bike lanes and walking paths to key locations,"Walkability / Bikeability / Accessibility,Connectivity",I think growth in Lexington is always a good thing,Masterson Station.  More options for dining and shopping,"Growth Location,Amenities & Quality of Life","Yes, I like living/spending time in Lexington",Easier parking for downtown events.  More music venues.    More hiking tours… more info on things to do,"Parking,Amenities & Quality of Life,Walkability / Bikeability / Accessibility",Female,60-70,White,,Master's Degree,40511,2
1177,Old Richmond Road / Rural South,"Yes, I like living in my neighborhood.",,,"Yes, I think protecting the environment should be a high priority",,,I think everyone can succeed financially in Lexington,,,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit","Bicycle lanes and sidewalks in subdivisions, and on major roads such as Tates Creek and Nicholasville Rd. Please, more sidewalks!",Walkability / Bikeability / Accessibility,"I think growth in Lexington is a good thing, depending on how it happens",,,"Yes, I like living/spending time in Lexington",,,,,,,,,12
1178,Bryan Station / Eastland,"Yes, I like living in my neighborhood.",It’s diverse and safe.,"Diversity / Equity / Inclusion,Safety","Yes, I think protecting the environment should be a high priority","More recycling, dissemination of information about reducing the consumption of single use plastics, more bike routes…","Recycling & Composting,Government Education,Walkability / Bikeability / Accessibility",I think everyone can succeed financially in Lexington,"Improve public transportation, increase minimum wage, financial literacy classes, affordable daycare and extracurricular activities for children and teens…","Public Transportation,Wages / Benefits,Public Education",,,,,,,,,,,,,,,,6
1179,Kirklevington,"I like living in my neighborhood, but it could use some changes.","My cul de sac is great ( most own their houses and our side is kept up very well). The problem area is near Kirklevington Park ( Backhand Ct and Spangler).We need more police presence..even just to park nearby, especially in summer and after school We need much more support for Code Enforcement for Sec 8 and other properties nearby.It shouldn't take 2 to 3 weeks to clean up trashed areas. Litter is constant problem on Loredo from TC road up to Spangler.Several calls have to be made for mowing.","Safety,Urban Greenspaces,Government Services,Housing Affordabiilty,Environmental Sustainability & Resiliency","Yes, I think protecting the environment should be a high priority","Cleaning up and maintaining areas ,not just downtown. Put more responsibility on rental property owners for maintaining property .Easy access to recycling and and rain barrels for gardens, community gardens, plant native species, encourage gardens and actually recognize residents who try and do these things.Moratorium on sprawling shopping centers destroying green landscape.We are a beautiful area but are losing it to developers.","Government Services,Rental Issues,Recycling & Composting,Environmental Sustainability & Resiliency,Style of Development,Urban Greenspaces,Rural Greenspace Conservation",I think everyone can succeed financially in Lexington," Not everyone can have financial success if those who could take advantage of opportunities in Lex, expect govt to take care of them. Free enterprise is the key but not everyone is motivated to take advantage of it. Many in Lex and in US have started w very little and have worked to be educated, taken risks and put in hard work. Everyone has an opportunity to grow..it's up to the individual to take hold of their individual opportunity and rely on themselves not others to provide w no effort.",,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit","Our roads and streets were not created for this many people. We have bottle neck areas ( TC road to Chevy Chase area) that have existed for years a year and need help. If we build sprawling suburban areas far away from downtown and don't provide bike lanes or small bus size alternative services, then of course people are going to have to rely on cars. ","Style of Development,Walkability / Bikeability / Accessibility,Public Transportation","I think growth in Lexington is a good thing, depending on how it happens","Grow up, not out. Lexington is known being a beautiful area, but we are losing it each year to developers. You can build yet another developed area if McMansions and name it some woodsy, countryside etc name, but it does nothing but destroy what we have here. We need better leadership to preserve what we have.",Style of Development,"Yes, I like living/spending time in Lexington","Better leadership to protect the unique greenspace here. Encourage business responsiblity and reduce absentee landlords. Increase and support police presence. Encourage/support  responsible males in the home that big govt destroyed, to reduce young feeling abandoned and turning to growing criminal activity. Encourage/ support entrepreneurs  and small businesses. Encourage/ support the education of rich Lexington history ( not just slavery) in schools and public as civic education. Better leaders","Urban Greenspaces,Rural Greenspace Conservation,Economic Development,Government Education,Public Education,Safety,Economic Equity",Female,60-70,Other,Human,More than Master's Degree,40517,8
1180,Idle Hour / Woodhill,"Yes, I like living in my neighborhood.",,,"Yes, I think protecting the environment should be a high priority",Prioritizing use of renewable energy and recycling. As well as starting public composting and making it accessible for the people.,"Environmental Sustainability & Resiliency,Recycling & Composting",I think everyone can succeed financially in Lexington,,,"I think walking, biking, and public transit are more important for the city to prioritize","Beautifying bus stops to inspire people to use public transit, and prioritizing bike storage and bike transit.","Public Transportation,Walkability / Bikeability / Accessibility","I think growth in Lexington is a good thing, depending on how it happens","Lexington should not expand into the horse farms, and instead expanding upwards, especially to allow a closeness to the city to shorten commute times and motivate public transit use.",Growth Location,"Yes, I like living/spending time in Lexington","Improving public spaces, and adding trees!","Trees,Urban Greenspaces,Amenities & Quality of Life",,,,,High School Student,,5
1181,Meadowthorpe,"I like living in my neighborhood, but it could use some changes.",more police patrol,Safety,"Yes, I think protecting the environment should be a high priority",,,I think very few people can succeed financially in Lexington,,,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",,,"I think growth in Lexington is a good thing, depending on how it happens",,,"I like living/spending time in Lexington, but it could use some changes",,,Female,70-80,Black / African-American,,High School Diploma or equivalent,40511,"2,1"
1182,Hartland / Squires,"Yes, I like living in my neighborhood.",A park,"Amenities & Quality of Life,Urban Greenspaces","I think protecting the environment is good, but it shouldn't be a high priority",,,I think that only some people can succeed financially in Lexington,more small businesses and expand the city,"Economic Development,Growth Location","I think it is equally important for the city to prioritize cars, walking, biking, and public transit","More public buses, and more bike lanes","Public Transportation,Walkability / Bikeability / Accessibility","I think growth in Lexington is a good thing, depending on how it happens",Downtown,Growth Location,"Yes, I like living/spending time in Lexington",More parks and more activites for teenagers and kids,"Urban Greenspaces,Amenities & Quality of Life,Social Services",,,,,High School Student,,8
1183,Tates Creek,"I like living in my neighborhood, but it could use some changes.","More activities such as an arcade, or something of value I can do with me friends and peers.",Amenities & Quality of Life,"Yes, I think protecting the environment should be a high priority",Neighborhood watch.,Safety,I think that only some people can succeed financially in Lexington,Higher wages,Wages / Benefits,"I think walking, biking, and public transit are more important for the city to prioritize",Subway stations.,Public Transportation,I think growth in Lexington is a bad thing,"I feel like Lexington has everything we need necessarily, but I feel like growth would just feed into a lot of negative things such as the money it cost to get from place to place, corporate sponsor-ships, and other things involving some form of greed. ",Rural Greenspace Conservation,"Yes, I like living/spending time in Lexington",Nothing really other than the lack of attractions (besides UK) I feel like Lexington Is amazing,Amenities & Quality of Life,,,,,,,8
1184,Old Richmond Road / Rural South,"Yes, I like living in my neighborhood.",,,"Yes, I think protecting the environment should be a high priority","Redo infrastructure in the city
Greenspaces is limited - only God can create ""land""!","Style of Development,Urban Greenspaces,Rural Greenspace Conservation",I think everyone can succeed financially in Lexington,"Improve internet service to people who cannot afford wifi access at their ""residence""",Infrastructure & Utilities,"I think walking, biking, and public transit are more important for the city to prioritize","More ""buses"" in places like Ellerslie for kids to get to & from after school","Public Transportation,Social Services","I think growth in Lexington is a good thing, depending on how it happens","Redo infrastructure. Maintain beautiful, rural farms that do produce money, tourism & food - no farms no food!","Rural Greenspace Conservation,Infrastructure & Utilities",,"Better access to groceries, hospitals & fast food areas.",Amenities & Quality of Life,Female,70-80,White,,Master's Degree,40509,12
1185,Woodland / Chevy Chase / Ashland,"Yes, I like living in my neighborhood.","More housing options like duplexes, fourplexes, triplexes and missing middle housing. More walkable neighborhoods at more affordable price points. More local businesses and bike infrastructure. ","Style of Development,Walkability / Bikeability / Accessibility,Housing Affordabiilty,Economic Development,Amenities & Quality of Life","Yes, I think protecting the environment should be a high priority","Protecting our green space and farmland, preventing urban sprawl and carbon emissions, making infrastructure more bike/walking friendly to lessen the amount of cars on the road. Creating walkable communities close to urban core. ","Urban Greenspaces,Rural Greenspace Conservation,Style of Development,Environmental Sustainability & Resiliency,Traffic Congestion,Walkability / Bikeability / Accessibility",I think that only some people can succeed financially in Lexington,"Housing has a lot to do with this and is why we need more missing middle housing options—diverse housing types close to existing jobs. We also need to utilize the economic development land we have at Coldstream to bring high paying jobs that utilize the land we have to meet our needs, and our existing vacant office and retail space. We need to focus on recruiting jobs with all of our assets—our farmland, our rural community, our highly educated workers, and the land with have inside the USB. ","Housing Affordabiilty,Style of Development,Economic Development,Urban Services Boundary","I think walking, biking, and public transit are more important for the city to prioritize","Investment in walkable and bikeable infrastructure. We need to invest in public transit on our major corridors, implement Imagine Nicholasville Road, build density on those corridors to support better transit options. Any new communities should be walkable and connected - those should be our priorities as we develop and redevelop the land we have inside the USB. ","Walkability / Bikeability / Accessibility,Public Transportation,Growth Location,Urban Services Boundary",I think growth in Lexington is always a good thing,"We should use the land we have inside the USB to meet our needs. We must be creative and innovative to use our vacant and underutilized land to build more housing types at more affordable price points, with walkable and bikeable connectivity and infrastructure. We must build in underutilized areas on our major corridors close to where people work and play - taking advantage of existing infrastructure. We should NOT develop our farmland - we must protect this unique asset. Once it’s gone it’s gon","Urban Services Boundary,Infill & Redevelopment,Housing Affordabiilty,Style of Development,Connectivity,Walkability / Bikeability / Accessibility,Rural Greenspace Conservation","Yes, I like living/spending time in Lexington","I love Lexington! We must protect what makes us unique - our agricultural industries and the land that sustains them - and use our existing land inside the USB to meet our needs. If we are innovative, we can use what we have to make investments in our city that build an equitable and sustainable community for all Lexingtonians. The balance between our urban and rural areas make us what we are and we must protect that balance while also ensuring Lexington can be a place all of us can call home. ","Urban Services Boundary,Rural Greenspace Conservation,Style of Development",Female,30-40,White,,More than Master's Degree,40502,5
1186,Woodland / Chevy Chase / Ashland,"Yes, I like living in my neighborhood.",more benches and seating areas,Amenities & Quality of Life,"Yes, I think protecting the environment should be a high priority",,,I think everyone can succeed financially in Lexington,,,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",,,"I think growth in Lexington is a good thing, depending on how it happens",I worry about gentrification,Gentrification & Displacement,"Yes, I like living/spending time in Lexington",,,Female,20-30,White,,Master's Degree,40502,5
1187,Liberty,"I like living in my neighborhood, but it could use some changes.","In order to make my neighborhood better it could add sidewalks so it is easier to walk around. There is no stop light or stop sign outside my neighborhood, which makes it very difficult to get out at times. The road is very thin and it is very dangerous without the proper signs and sidewalks. ","Walkability / Bikeability / Accessibility,Traffic Calming / Safety","Yes, I think protecting the environment should be a high priority",I think to protect the environment we should try to recycle more as a community. ,Recycling & Composting,I think that only some people can succeed financially in Lexington,"To help make Lexington a place where everyone can try to have financial success is giving people more opportunities to do so. The pay averages across Lexington are very low, and by raising them it could be easier to save money rather than spend it immediately for necessities. ","Wages / Benefits,Economic Development","I think walking, biking, and public transit are more important for the city to prioritize","In order to improve transportation in Lexington, we should add more sidewalks. My neighborhood does not have a side walk, even though it is a main road and it is very dangerous. ",Walkability / Bikeability / Accessibility,"I think growth in Lexington is a good thing, depending on how it happens",I think that growing is good as long as we have the environment in mind. Trying to be as ecosystem friendly is important. ,Environmental Sustainability & Resiliency,"Yes, I like living/spending time in Lexington",Lexington would be a better place to live and spend time in if it was cleaner. There trash from people littering in a lot of places and is very bad for the environment. ,Environmental Sustainability & Resiliency,,,,,,,"6,12"
1188,Rural,"I like living in my neighborhood, but it could use some changes.","Public safety, road traffic. ","Safety,Traffic Congestion","Yes, I think protecting the environment should be a high priority",public transit,Public Transportation,I think that only some people can succeed financially in Lexington,Biz recruitment ,Economic Development,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit","Employers to encourage/incentivize the use of transit, reintroduce trolley system. ","Wages / Benefits,Public Transportation",I think growth in Lexington is a bad thing,Urban spread is causing us to lose our city's (?),Style of Development,"I like living/spending time in Lexington, but it could use some changes",Increase our art community. Retain the youth we are losing + introduce more artistic venues. ,Amenities & Quality of Life,Male,40-50,White,,Master's Degree,40516,12
1189,Georgetown,"Yes, I like living in my neighborhood.",,,"Yes, I think protecting the environment should be a high priority",,,I think everyone can succeed financially in Lexington,,,"I think walking, biking, and public transit are more important for the city to prioritize",,,I think growth in Lexington is always a good thing,,,"Yes, I like living/spending time in Lexington",,,Male,50-60,White,,High School Diploma or equivalent,40508,1
1190,Old Richmond Road / Rural South,"Yes, I like living in my neighborhood.",Speed bumps on Marcus Trail. Drivers are dangerous and have no regard for children or people walking pets.,Traffic Calming / Safety,"I think protecting the environment is good, but it shouldn't be a high priority","Make sure the recycling programs are available in all neighborhoods. Our previous location had no provisions for recycling at all. Adopt a street, community service hours for high school students if they take on a neighborhood cleanup project. ","Recycling & Composting,Government Services,Public Education,Environmental Sustainability & Resiliency",I think that only some people can succeed financially in Lexington,The cost of housing is too high for the quality of the housing. The costs of retail space and advertising your business in Lexington are inordinately high. We are just a step above a small town so things shouldn't be so expensive. ,Housing Affordabiilty,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit","I think it's too late. When the new residential and retail areas were zoned, plans for roads, sidewalks and schools should have been included before permits were granted. We did it backwards. ","Style of Development,Walkability / Bikeability / Accessibility","I think growth in Lexington is a good thing, depending on how it happens","Clean up the areas and revitalize downtown and adjacent areas. Leave the farmlands, parks and green spaces alone. And please work with the Wildlife and Game Department for a plan to relocate deer and other animals before you allow the builders to destroy their habitats. It's pathetic to see dead deer on Richmond Road. ","Infill & Redevelopment,Rural Greenspace Conservation,Urban Greenspaces,Environmental Sustainability & Resiliency","Yes, I like living/spending time in Lexington",,,Female,50-60,"American Indian / Alaskan Native,White",,Bachelor's Degree,40509,7
1191,No Response,"Yes, I like living in my neighborhood.",Public transportation ,Public Transportation,"Yes, I think protecting the environment should be a high priority",,,I think that only some people can succeed financially in Lexington,,,"I think walking, biking, and public transit are more important for the city to prioritize",,,"I think growth in Lexington is a good thing, depending on how it happens",,,"Yes, I like living/spending time in Lexington",,,Female,40-50,White,,Master's Degree,Outside Lexington,Unknown
1192,Idle Hour / Woodhill,"Yes, I like living in my neighborhood.",Reroute some traffic so Henry Clay Blvd. is not so busy and enforce speed limits.,"Traffic Calming / Safety,Traffic Congestion","Yes, I think protecting the environment should be a high priority","Continuing to protect farmland and natural areas via the PDR Program will have the biggest impact on our environment. In addition to the protection of greenspace, trees, and streams, it means less street lights, traffic, and sewer needs in the Rural Service Area.","Rural Greenspace Conservation,Trees,Water Infrastructure / Quality,Infrastructure & Utilities,Traffic Congestion",I think everyone can succeed financially in Lexington,"Rather than everyone or some people can succeed financially in Lexington, my answer is that the majority can succeed here. It is my understanding we consistently have a very low unemployment rate. The LFUCG has implemented a $15 per hour minimum wage and it would be great to see the Council adopt that requirement for all Lexington employers. ",Wages / Benefits,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit","This is difficult as it's not realistic to believe people living in a suburb near/outside Man'OWar will ride their bike to work nor will 99% of people during winter, when it rains, etc., & many people need a car to transport their kids. It can also be unsafe due to the large number of distracted drivers. For buses, we need to be honest & admit it's seen as transportation for poor people & most people will not utilize it due to the stigma. We therefore need to prioritize managing traffic flow.","Traffic Congestion,Traffic Calming / Safety","I think growth in Lexington is a good thing, depending on how it happens","Utilize large open parking lots such as the Hamburg shopping area for apartment buildings. It has become a ghost town & there are multiple empty stores. It also has quick I-75 access. Stop allowing new developments to have such large parking lots & require new subdivisions to have a variety of housing. Continue to revitalize our exciting downtown. Protect our farmland and natural areas - they are a precious resource that provide economic, aesthetic, & environmental benefits.","Parking,Style of Development,Rural Greenspace Conservation,Environmental Sustainability & Resiliency,Infill & Redevelopment","Yes, I like living/spending time in Lexington","We need a waterfront but that's not easily accomplished. Fun cities often have waterfront areas where people can dine & shop. We need things for teens & the new movie theater & bowling alley across from Rupp Arena is a great addition. It will also be great if the soccer stadium is added beside it & can be utilized for outdoor concerts. The Distillery District is wonderful & a great example of revitalizing what we have vs. building new, & incentives should be given to entrepreneurs to do so. ","Amenities & Quality of Life,Economic Development",Female,50-60,White,,Bachelor's Degree,40502,5
1193,Southland,"Yes, I like living in my neighborhood.",More walk-able and bike-able options! ,Walkability / Bikeability / Accessibility,"Yes, I think protecting the environment should be a high priority",More trees? Better managing water run-off in our neighborhoods? ,"Trees,Water Infrastructure / Quality",I think that only some people can succeed financially in Lexington,I'm not sure! ,,"I think walking, biking, and public transit are more important for the city to prioritize","More public transportation options! I'm a regular bus-user . . . wish more of my neighbors were, too! ",Public Transportation,"I think growth in Lexington is a good thing, depending on how it happens",I'm not sure but I'd prefer denser housing and more mixed-use development! ,Style of Development,"Yes, I like living/spending time in Lexington",,,Female,30-40,Asian,,More than Master's Degree,40503,10
1194,Masterson / McConell's Trace / Coldstream,"I like living in my neighborhood, but it could use some changes.","If neighbors were better educated on the purpose of government, civics and why certain policies are in place it would lead to less bad mouthing one another and government on social media that lead to division",Government Education,"Yes, I think protecting the environment should be a high priority","Not enough characters here!  Protect our water ways, air, animals. Better funding for k-12 education so kids are taught the basics early on as part of curriculum. More community out reach on what citizens and businesses can do to make a difference.","Water Infrastructure / Quality,Environmental Sustainability & Resiliency,Public Education,Government Education",I think that only some people can succeed financially in Lexington,increase the minimum wage. Make it easier to find affordable house.,"Wages / Benefits,Housing Affordabiilty","I think walking, biking, and public transit are more important for the city to prioritize",,,"I think growth in Lexington is a good thing, depending on how it happens",Fill in existing area available in the USB,"Infill & Redevelopment,Urban Services Boundary","Yes, I like living/spending time in Lexington",,,Female,40-50,White,,Bachelor's Degree,40511,2
